BaselineOnly,CoClustering,KNNBasic_Itembased,KNNBasic_Userbased,KNNWithMeans_Itembased,KNNWithMeans_Userbased,NMF,NormalPredictor,SlopeOne,SVD
0.793,0.8282,0.905,0.8218,0.8459,0.8398,0.8507,1.311,0.7958,0.7861
0.8686,0.976,1.2115,0.9307,0.9497,0.9294,0.9237,1.5481,0.9421,0.8596
1.0244,1.1316,1.1689,1.0396,1.075,1.0813,1.0639,1.4076,1.0377,1.0186
1.1954,1.3901,1.4233,1.6955,1.3344,1.3567,1.368,1.9959,1.3892,1.2031
0.7074,0.7345,0.7679,0.7565,0.7164,0.7173,0.7543,1.3394,0.7567,0.7252
0.6359,0.7231,0.672,0.7812,0.6518,0.6135,0.6634,1.4588,0.6932,0.6389
0.8161,0.8788,0.8144,0.8847,0.8575,0.8609,0.9157,1.4299,0.8677,0.8098
0.6074,0.6889,0.6959,0.7777,0.6611,0.6136,0.6683,1.2192,0.643,0.6175
0.9137,0.9058,1.0572,0.9458,0.8866,0.9122,0.9016,1.4483,0.8758,0.9004
0.9078,1.0858,0.8609,1.0833,1.068,0.9722,1.0726,1.401,1.0542,0.927
1.1824,1.2242,1.2992,1.2479,1.1686,1.1486,1.164,1.6751,1.1678,1.1802
0.6771,0.7019,0.7351,0.9317,0.7134,0.6901,0.7194,1.3028,0.6895,0.7095
0.6804,0.7354,0.7771,0.8274,0.6915,0.6951,0.729,1.4266,0.7175,0.6782
1.2975,1.3154,1.3437,1.3194,1.3163,1.2744,1.3302,1.7161,1.2963,1.2758
0.7569,0.788,0.7565,0.7993,0.7665,0.766,0.8209,1.2442,0.7287,0.7757
0.6431,0.6664,0.6746,0.6863,0.6432,0.6986,0.6938,1.3184,0.6446,0.649
0.8227,1.0701,0.8488,1.0367,0.9181,0.9353,0.9935,1.1437,0.9309,0.7986
1.035,1.0554,1.123,1.0449,1.0596,1.0196,1.0539,1.465,1.0087,1.044
0.7114,0.7702,0.841,1.0871,0.771,0.7521,0.7311,1.4826,0.7652,0.7259
0.5342,0.5726,0.4997,0.6077,0.5478,0.544,0.568,1.0645,0.5598,0.5243
0.8679,0.939,1.022,1.1001,0.8721,0.8873,0.883,1.5681,0.8442,0.8541
0.8836,0.9248,0.9479,1.0271,0.8806,0.874,0.8898,1.7377,0.8692,0.9005
0.7473,0.7479,0.804,0.772,0.7331,0.7513,0.7593,1.2394,0.7457,0.7732
0.6594,0.7503,0.766,0.697,0.7028,0.6963,0.7472,1.3348,0.7106,0.6535
0.3586,0.3691,0.4198,0.9392,0.4384,0.3667,0.4008,1.5146,0.351,0.363
0.9788,1.1079,1.3576,0.997,0.9895,0.9812,0.941,1.3913,0.9565,1.0174
0.6943,0.716,0.7168,0.7468,0.6678,0.7077,0.7213,1.2866,0.6929,0.7324
0.6302,0.6597,0.7052,0.683,0.6044,0.6417,0.626,1.359,0.6336,0.6187
0.9208,0.9584,1.0538,0.911,0.9152,0.9295,0.9687,1.413,0.9408,0.9666
1.0948,1.1563,1.0576,1.4658,1.233,1.1402,1.1018,1.6627,1.1506,1.078
0.922,1.0737,0.8237,1.1499,1.0535,0.9848,1.1122,1.3014,1.0319,0.9067
0.7298,0.9036,0.7319,0.8407,0.8371,0.7718,0.8397,1.0418,0.8171,0.7014
1.0888,1.0805,1.116,1.0805,1.0656,1.0642,1.1373,1.5811,1.0646,1.1034
0.8481,0.8444,0.9859,0.7852,0.802,0.8175,0.8395,1.3719,0.7884,0.8391
0.5874,0.6643,0.6166,0.9887,0.5907,0.5759,0.6424,1.4759,0.6,0.5824
0.7348,0.7307,0.8209,0.77,0.7068,0.8158,0.7546,1.331,0.7458,0.7505
0.6224,0.7541,0.7901,0.717,0.6545,0.6916,0.6101,1.4775,0.6004,0.6463
0.9999,1.0156,1.1573,1.0643,0.9783,0.9789,1.0174,1.7619,0.9588,1.0496
0.9,1.032,0.9263,1.0057,0.9906,0.9215,1.0601,1.2564,0.9766,0.8736
1.038,1.0625,1.1805,0.9962,1.0758,1.0414,1.0025,1.661,1.0059,1.026
1.312,1.3411,1.3034,1.4653,1.3118,1.3477,1.3031,1.6284,1.2833,1.3414
0.724,0.8165,0.8584,0.8955,0.7848,0.7491,0.7755,1.2781,0.8079,0.724
0.6765,0.6862,0.6675,0.701,0.699,0.6528,0.7328,1.0838,0.7267,0.6769
0.8417,0.8404,0.9552,0.8454,0.8283,0.8438,0.8139,1.6224,0.8259,0.8951
1.0465,1.1178,1.1329,1.067,1.0731,1.0516,1.07,1.5443,1.0576,1.0508
0.5979,0.6142,0.6115,0.686,0.6369,0.5898,0.6561,1.4788,0.6329,0.5975
0.9605,0.9597,1.0571,0.9706,0.9303,0.9561,0.9174,1.3653,0.9493,1.0036
0.8105,0.8264,1.0131,0.7815,0.7878,0.8228,0.7787,1.5632,0.7947,0.8101
1.3795,1.6277,1.3881,1.7046,1.5235,1.5051,1.5315,1.8242,1.482,1.3724
0.7316,0.7643,0.7929,1.0397,0.759,0.7224,0.7682,1.5908,0.7532,0.7153
0.6958,0.7919,0.634,0.9437,0.7831,0.7156,0.8262,1.3002,0.7308,0.7075
1.147,1.2246,1.1901,1.1732,1.1786,1.1911,1.1109,1.3414,1.1456,1.1352
0.8893,1.1686,0.7504,0.9958,0.892,0.9736,0.9381,1.2035,1.017,0.8595
0.6867,0.7376,0.6566,0.8987,0.7421,0.7113,0.7681,1.3202,0.7494,0.6913
0.4631,0.5147,0.5019,0.5019,0.4931,0.4586,0.5155,1.086,0.4791,0.4523
0.6604,0.7477,0.7877,0.7104,0.6903,0.6884,0.6831,1.2187,0.6641,0.6734
0.838,1.0133,0.8659,0.9716,0.9673,0.9145,0.9681,1.3891,0.9276,0.8382
1.1431,1.1839,1.1491,1.2962,1.1365,1.1726,1.09,1.373,1.1223,1.1439
1.3417,1.433,1.3954,1.3518,1.3312,1.3885,1.3082,1.5706,1.3292,1.3323
0.9312,0.9837,0.846,1.0849,0.9581,0.9493,0.9525,1.3493,1.0206,0.9435
0.662,0.866,0.6177,1.0327,0.8095,0.747,0.9329,1.3413,0.7646,0.6438
0.6016,0.9162,0.6215,0.7747,0.7682,0.7208,0.8226,1.2511,0.7991,0.5948
0.678,0.6807,0.8053,0.6372,0.6543,0.6474,0.681,1.3601,0.6907,0.7033
0.8429,0.9437,1.0224,0.8855,0.8779,0.8259,0.908,1.5605,0.8276,0.8511
0.8559,0.9947,0.7875,1.1134,0.9163,0.9042,0.9237,1.3876,0.9197,0.815
0.8837,0.9458,0.9467,0.9482,0.9148,0.8844,0.9005,1.4405,0.8998,0.8633
0.9331,1.0374,0.9341,1.0676,0.979,0.9973,1.0536,1.3784,1.0176,0.8968
0.9382,1.0463,0.9291,1.0671,0.9659,1.0037,1.0405,1.4176,1.0009,0.9161
0.6899,0.6764,0.631,1.195,0.6716,0.7028,0.8103,1.8431,0.7225,0.6542
0.7627,0.8527,0.8524,0.8068,0.7414,0.7985,0.7498,1.4179,0.7557,0.7642
1.0017,1.0368,1.0395,1.0226,1.015,1.0426,1.0151,1.4564,1.0005,0.9943
0.7763,0.8886,0.8451,0.9304,0.8008,0.7855,0.9184,1.4853,0.8489,0.783
0.8564,0.9455,0.9019,1.6183,0.8627,0.846,0.9084,1.8959,0.8564,0.8461
0.6075,0.6203,0.7047,0.6977,0.5887,0.6569,0.6054,1.1757,0.6318,0.6092
0.4837,0.5186,0.581,0.5545,0.4815,0.4958,0.4964,1.286,0.5027,0.5088
0.9712,1.0716,1.0706,1.006,0.9946,1.036,0.9848,1.4701,0.9621,1.0109
0.8554,0.8528,0.9663,0.8116,0.7568,0.8106,0.8103,1.4017,0.7833,0.8646
1.0346,1.0517,0.9038,1.0989,1.0269,1.0185,1.1021,1.4421,1.0859,1.0125
0.9063,0.9513,0.9773,0.933,0.9799,0.9419,0.9118,1.3232,0.9656,0.8725
0.6194,0.6706,0.642,0.7448,0.6298,0.6346,0.67,1.0236,0.6315,0.6438
1.1311,1.1538,1.1217,1.2405,1.1333,1.1219,1.1665,1.6248,1.1649,1.1054
0.9397,0.8754,1.092,0.8544,0.8756,0.8764,0.9226,1.4958,0.8542,0.9573
1.3089,1.2991,1.4561,1.2556,1.2732,1.3001,1.3441,1.8944,1.2661,1.2831
1.4852,1.5521,1.5082,1.9709,1.4659,1.4517,1.4742,2.0681,1.4957,1.5099
0.5719,0.6097,0.6722,0.6616,0.5598,0.6641,0.5617,1.552,0.5863,0.5714
0.8807,0.8889,0.9383,0.8938,0.9146,0.8799,0.9468,1.4581,0.9104,0.8863
0.7953,0.8553,0.7255,0.944,0.7954,0.7819,0.9005,1.4039,0.8045,0.7748
1.0637,1.0806,1.1601,1.0549,1.031,1.0351,1.1435,1.4935,1.0409,1.0689
0.9043,0.9323,1.0329,0.8819,0.8771,0.9009,0.8833,1.3245,0.8727,0.8802
0.6721,0.6268,0.832,0.6753,0.58,0.6782,0.6547,1.2654,0.604,0.678
0.6882,0.705,0.695,0.7257,0.6803,0.6397,0.6939,1.1538,0.7071,0.6728
0.9878,1.0606,0.9636,1.112,1.0492,1.0178,1.0941,1.2658,1.0824,1.0064
0.8848,1.0059,0.9239,0.9281,0.8983,0.9258,0.9492,1.4505,0.915,0.8875
0.4626,0.5739,0.5254,0.7719,0.5483,0.5213,0.5879,1.2235,0.5605,0.4468
0.8272,0.8545,0.8175,1.0262,0.9172,0.8185,0.8896,1.4166,0.8909,0.8417
0.6375,0.6889,0.6089,0.6961,0.6869,0.6419,0.6859,1.1694,0.7011,0.6415
0.5776,0.6749,0.6019,0.6545,0.5999,0.7663,0.6012,1.0433,0.6768,0.5754
0.9374,0.9707,1.072,0.8933,0.8968,0.9641,1.0211,1.3074,0.8545,0.959
0.7875,0.8181,0.8942,0.7597,0.7467,0.7534,0.7845,1.2806,0.7812,0.791
0.6975,0.7512,0.7148,0.7146,0.7048,0.7376,0.7717,1.292,0.7357,0.6892
0.8932,1.0484,0.8078,1.0114,0.9542,0.9009,0.9772,1.3814,0.9447,0.9009
0.9391,0.9603,0.9758,0.8864,0.8718,0.9284,0.9824,1.6931,0.8395,0.9565
0.7781,0.8274,0.819,0.776,0.7819,0.7322,0.8869,1.1927,0.822,0.8228
0.5397,0.5608,0.5294,0.9503,0.5728,0.5519,0.6292,1.3993,0.5539,0.5149
0.731,0.7374,0.8006,0.8077,0.7199,0.7228,0.7702,1.3796,0.6894,0.7264
0.6171,0.6219,0.643,0.7342,0.6117,0.6396,0.6619,1.202,0.6599,0.6193
0.8703,0.8828,0.8234,0.8945,0.8787,0.9257,0.9116,1.0537,0.9144,0.9011
1.2487,1.1635,1.418,1.5607,1.2155,1.2444,1.2066,1.6893,1.1988,1.2654
1.1669,1.1772,1.2686,1.1609,1.1098,1.1489,1.1051,1.5263,1.1198,1.1975
0.8812,0.8939,0.9523,0.9042,0.9116,1.0002,0.9167,1.3886,0.8976,0.8532
0.6119,0.6886,0.7703,0.8119,0.7127,0.6989,0.6782,1.3244,0.6966,0.6537
1.2273,1.1489,1.3243,1.1688,1.1574,1.1656,1.1699,1.5073,1.1756,1.246
0.797,0.8604,0.9089,0.847,0.8209,0.9047,0.8488,1.3459,0.802,0.8368
0.6883,0.7269,0.6955,0.7982,0.6809,0.6897,0.8003,1.1369,0.7211,0.6626
0.45,0.5626,0.52,0.5642,0.549,0.4826,0.5802,1.3054,0.5434,0.4547
0.5598,0.7062,0.6262,0.6823,0.6566,0.6021,0.78,1.2248,0.7105,0.5644
0.6236,0.6608,0.6805,0.8464,0.6478,0.6179,0.7733,1.2795,0.6315,0.6485
0.6593,0.7698,0.6558,0.6789,0.6518,0.8199,0.7653,1.4942,0.6651,0.6357
0.9248,0.9963,0.9639,1.084,1.0213,0.8943,0.949,1.2032,1.0939,0.9075
0.8179,0.8564,0.7582,0.8164,0.8246,0.8069,0.827,1.2848,0.8456,0.8009
0.7624,0.7726,0.8789,0.7823,0.7729,0.7435,0.7857,1.3786,0.7655,0.7656
1.0155,1.2212,0.9689,1.0294,1.0965,1.0074,1.1029,1.4865,1.1544,0.9824
1.3229,1.2752,1.1519,1.6091,1.2186,1.2841,1.3058,1.6397,1.3227,1.3259
0.9258,1.0492,0.9299,1.1074,0.9513,0.9546,1.0469,1.4326,1.0601,0.9382
0.9138,0.9381,1.0868,0.888,0.8984,0.9033,0.8884,1.6937,0.9143,0.9045
0.924,0.9322,0.8782,0.9212,0.9353,0.9781,0.9002,1.3515,1.0342,0.8672
0.8552,0.9035,0.9629,0.8495,0.8787,0.8872,0.9223,1.4521,0.8552,0.9225
1.2465,1.2116,1.293,1.2784,1.2445,1.2613,1.296,1.4056,1.235,1.257
1.2652,1.2877,1.1978,1.2772,1.2526,1.2552,1.3166,1.5249,1.2864,1.2217
0.9765,0.9577,0.9998,0.9504,0.9122,0.9035,0.98,1.5479,0.8913,0.971
0.8322,0.8541,0.8143,0.8831,0.8225,0.7662,0.8012,1.7688,0.8712,0.8291
0.8312,1.1187,0.8594,1.1702,1.0168,0.9477,1.1404,1.4136,1.0357,0.8262
1.0546,1.0214,1.0724,0.9788,0.9988,1.0067,1.0689,1.6255,1.0019,1.046
0.628,0.7126,0.6109,0.7715,0.5751,0.696,0.6075,1.7613,0.6172,0.6103
1.2715,1.245,1.1861,1.2425,1.1507,1.2006,1.2051,1.5958,1.1669,1.2583
0.7059,0.7423,0.6978,0.7456,0.7149,0.6947,0.6873,1.244,0.7472,0.7232
0.9036,0.8817,0.9508,0.92,0.9166,0.8748,0.9002,1.6011,0.9137,0.8911
